,ID,Warehouse_block,Mode_of_Shipment,Customer_care_calls,Customer_rating,Cost_of_the_Product,Prior_purchases,Product_importance,Gender,Discount_offered,Weight_in_gms
4346,4347,A,Ship,4,4,280,5,low,F,3,5034
545,546,F,Flight,3,1,168,3,low,M,46,1886
3241,3242,F,Ship,3,4,170,3,low,M,5,4716
8930,8931,A,Ship,6,3,273,5,low,M,8,1746
8502,8503,D,Flight,5,1,179,2,high,M,8,5301
9323,9324,F,Flight,4,2,262,3,low,M,6,5381
10907,10908,F,Ship,2,1,125,4,low,M,1,4097
7564,7565,C,Ship,3,4,184,3,low,M,7,5438
920,921,A,Ship,3,2,214,2,low,M,26,3503
10256,10257,A,Road,2,2,163,3,low,M,5,5887
6640,6641,C,Ship,4,1,156,2,low,M,8,5488
7694,7695,A,Ship,3,5,159,2,high,F,6,4295
8230,8231,C,Flight,5,1,266,3,low,M,8,4786
7126,7127,C,Flight,3,1,239,3,low,M,2,4425
4278,4279,D,Ship,6,2,271,10,medium,F,2,4145
2983,2984,F,Ship,4,3,222,4,medium,M,49,3697
130,131,C,Road,3,5,179,2,low,F,17,1364
7980,7981,D,Ship,2,4,165,3,medium,M,7,5856
2667,2668,B,Ship,5,3,162,4,medium,M,38,1407
7138,7139,C,Flight,3,4,180,7,high,M,4,4408
3223,3224,F,Ship,5,4,269,3,low,F,3,4489
9374,9375,A,Ship,4,1,261,6,low,F,6,5861
7693,7694,F,Ship,5,1,216,10,medium,F,2,5672
5392,5393,C,Ship,2,3,257,2,low,F,1,5331
614,615,A,Ship,5,4,182,4,high,M,20,2212
10891,10892,F,Ship,3,3,149,2,medium,F,2,5311
1466,1467,A,Ship,4,1,192,3,low,F,15,3460
4497,4498,B,Road,3,4,260,4,low,F,10,4109
3042,3043,D,Ship,4,5,267,3,low,F,53,3742
9126,9127,D,Ship,5,1,140,8,medium,M,7,5437
2419,2420,F,Ship,4,4,241,3,high,M,39,3798
5085,5086,B,Flight,4,3,138,3,low,F,2,5593
3294,3295,D,Flight,4,1,155,3,low,F,5,4283
6737,6738,F,Ship,6,3,245,5,medium,F,8,5678
1500,1501,D,Road,4,1,271,2,high,M,33,3269
9018,9019,D,Road,3,4,185,4,medium,F,6,5322
1521,1522,B,Flight,4,5,268,3,medium,M,7,3622
10039,10040,F,Ship,5,3,229,2,medium,F,1,5294
4232,4233,A,Road,3,1,232,2,medium,M,10,4719
7686,7687,D,Flight,5,4,233,4,medium,M,1,4255
8820,8821,D,Ship,7,2,307,4,low,M,8,1551
4430,4431,A,Ship,4,1,220,3,medium,M,4,4314
390,391,D,Road,4,1,259,3,low,M,20,2154
10845,10846,B,Ship,4,5,272,4,medium,F,9,5034
7124,7125,A,Flight,6,4,260,3,medium,M,9,4730
5913,5914,B,Ship,3,5,284,2,low,M,10,5619
8592,8593,D,Ship,4,1,167,4,high,M,7,5264
4806,4807,D,Flight,6,1,260,4,medium,F,2,1131
9864,9865,D,Flight,3,4,271,3,medium,M,1,4444
8238,8239,D,Ship,5,3,145,3,low,M,3,4077
8044,8045,C,Ship,5,1,248,5,low,F,8,1810
10762,10763,C,Ship,5,2,253,5,medium,M,6,1326
3993,3994,B,Ship,3,3,221,3,high,M,5,4568
10513,10514,F,Ship,3,4,205,3,low,F,7,4490
6609,6610,B,Ship,5,1,267,5,medium,M,10,1505
5319,5320,B,Road,4,3,274,3,high,F,7,5517
10825,10826,F,Flight,4,4,258,3,medium,M,8,5324
7119,7120,B,Flight,3,4,200,4,medium,F,8,4944
2421,2422,B,Ship,3,3,188,5,low,M,25,3992
5604,5605,D,Road,3,5,253,2,medium,M,7,5846
1750,1751,C,Ship,3,1,142,4,low,M,4,1583
9930,9931,D,Ship,5,3,243,6,medium,M,10,1729
10694,10695,A,Flight,4,3,239,3,medium,M,7,5511
338,339,A,Ship,3,5,261,3,medium,M,15,2989
8407,8408,F,Ship,6,5,167,2,low,M,10,4013
1341,1342,B,Ship,5,3,201,2,low,M,4,3757
10506,10507,D,Ship,4,5,200,4,low,F,1,4885
7982,7983,A,Ship,4,4,153,4,low,M,5,5162
3640,3641,C,Ship,3,2,159,3,medium,M,4,5577
329,330,F,Ship,4,5,243,4,medium,F,41,2782
9731,9732,F,Flight,5,5,173,2,low,M,7,4716
3004,3005,C,Road,4,5,196,2,low,M,51,3151
6960,6961,D,Road,3,1,178,4,medium,M,9,4298
4090,4091,C,Road,3,4,188,4,low,M,2,1059
2322,2323,D,Road,3,5,268,4,high,M,19,2893
6667,6668,F,Ship,3,3,152,2,medium,M,3,4193
7009,7010,F,Ship,4,3,169,2,high,M,7,4032
4197,4198,B,Ship,4,4,266,3,medium,F,5,4641
3549,3550,B,Road,4,3,102,3,medium,F,3,4845
9650,9651,A,Ship,6,1,117,7,medium,F,4,4211
8363,8364,F,Flight,5,1,228,5,low,F,7,1818
4203,4204,B,Ship,4,5,172,4,medium,M,8,5900
10251,10252,B,Road,3,1,267,2,low,F,9,5744
9846,9847,D,Road,5,5,246,3,medium,F,7,5167
6185,6186,F,Ship,3,5,157,2,medium,F,4,5991
1639,1640,F,Flight,3,1,233,3,medium,M,1,2744
9130,9131,C,Ship,7,5,308,4,medium,M,6,1165
60,61,D,Ship,3,1,221,3,low,F,64,2794
1240,1241,C,Flight,4,5,210,4,medium,F,28,3905
5760,5761,D,Flight,6,1,290,4,medium,M,6,1505
5136,5137,D,Ship,4,1,273,4,low,M,1,4857
2343,2344,B,Flight,4,2,167,2,low,F,5,1169
2120,2121,A,Ship,5,4,177,2,low,M,14,1735
1524,1525,D,Ship,3,1,249,3,low,F,43,3277
7617,7618,B,Ship,5,1,256,4,medium,F,5,4970
153,154,B,Flight,3,3,183,2,low,M,53,3932
481,482,F,Ship,4,5,202,3,medium,F,46,3181
6122,6123,A,Ship,5,4,275,2,medium,M,10,5395
7674,7675,D,Flight,5,4,242,5,medium,F,2,1717
7101,7102,B,Road,5,2,223,5,medium,M,5,1484
1762,1763,C,Road,4,2,190,4,medium,M,61,2077
8942,8943,A,Ship,3,1,266,3,low,F,8,4574
7715,7716,F,Ship,5,5,262,5,low,M,6,1887
9999,10000,B,Flight,3,3,158,3,low,M,1,5502
7479,7480,B,Ship,4,5,273,5,medium,F,7,1409
6212,6213,A,Ship,4,1,208,3,low,F,6,5345
4853,4854,F,Ship,4,2,159,3,low,M,5,4985
2711,2712,F,Ship,5,2,246,2,medium,M,13,2652
6766,6767,C,Ship,2,3,248,4,high,F,2,4521
4150,4151,C,Ship,4,1,253,2,low,F,9,4299
1333,1334,F,Ship,5,5,260,2,low,F,23,3065
10358,10359,A,Ship,4,1,265,3,low,F,4,4249
8378,8379,A,Ship,5,5,268,3,low,F,8,5480
9328,9329,C,Flight,4,5,233,6,medium,M,1,5284
10337,10338,F,Ship,4,3,197,3,medium,F,6,5395
10683,10684,B,Flight,3,3,176,8,medium,M,10,4376
10043,10044,F,Ship,4,2,232,2,low,M,5,4907
3850,3851,C,Flight,4,3,221,4,low,F,1,4865
8340,8341,D,Road,5,5,261,6,medium,F,1,1082
4124,4125,A,Flight,4,1,233,2,low,M,7,4403
10585,10586,F,Ship,4,4,160,5,low,M,6,4055
4788,4789,D,Road,3,4,195,7,medium,F,9,5829
2866,2867,C,Road,3,3,274,2,medium,F,59,3436
1386,1387,D,Flight,3,1,180,3,low,F,29,1414
5941,5942,F,Ship,4,2,244,3,high,M,1,5559
3067,3068,F,Ship,5,5,180,4,high,M,10,1200
9975,9976,B,Road,4,2,238,5,medium,M,9,4618
3629,3630,F,Ship,5,2,134,2,low,M,9,5045
10413,10414,B,Flight,5,1,234,5,medium,M,2,1030
9859,9860,F,Flight,4,4,160,4,low,M,1,5520
3028,3029,C,Flight,5,2,172,4,high,F,61,1161
2969,2970,F,Ship,3,4,162,3,low,M,17,1700
8646,8647,D,Flight,4,5,233,6,low,M,8,1176
6136,6137,C,Ship,3,2,177,2,medium,M,4,4417
8801,8802,F,Ship,5,2,164,3,medium,F,6,4302
4263,4264,B,Flight,4,1,240,4,low,F,6,4811
645,646,B,Ship,4,2,124,3,high,M,60,1107
10956,10957,D,Flight,4,3,192,4,high,M,7,4949
2074,2075,C,Ship,3,4,175,2,low,F,2,1072
341,342,F,Ship,3,2,169,2,high,M,30,1698
8041,8042,F,Ship,6,2,272,5,low,M,8,1045
1622,1623,A,Road,3,1,180,3,high,F,21,1047
7141,7142,F,Ship,5,3,275,5,low,M,7,1349
5796,5797,D,Ship,4,3,207,5,high,F,6,4145
7184,7185,A,Ship,3,2,214,2,medium,M,3,1983
8232,8233,D,Flight,3,3,155,3,medium,F,7,5464
5475,5476,B,Flight,4,2,192,3,medium,F,3,4922
10187,10188,F,Ship,5,2,243,6,medium,M,7,1752
74,75,A,Ship,6,1,238,6,low,F,13,2442
10882,10883,C,Ship,5,2,244,2,medium,F,4,4992
8633,8634,F,Flight,5,1,235,5,low,F,10,1920
10162,10163,C,Ship,4,1,162,6,low,M,1,5525
2051,2052,F,Flight,4,5,221,3,low,F,43,3561
2541,2542,B,Ship,5,3,156,2,low,M,1,1147
1301,1302,F,Ship,4,4,247,3,low,M,55,2361
5877,5878,B,Road,4,3,207,4,low,M,5,5008
7368,7369,D,Ship,4,1,179,4,medium,F,2,4071
1304,1305,A,Ship,5,4,270,2,high,F,43,2971
8428,8429,C,Ship,4,1,236,3,low,F,8,4114
10012,10013,C,Flight,3,1,263,3,medium,M,4,4616
2599,2600,F,Flight,4,1,220,2,medium,M,38,2368
2573,2574,F,Ship,3,5,165,3,medium,M,33,1500
3186,3187,D,Ship,3,1,123,5,medium,F,10,4231
2768,2769,A,Ship,4,2,171,3,low,M,34,1352
4831,4832,F,Ship,3,1,228,2,low,F,5,4456
4223,4224,F,Road,5,4,229,2,medium,F,10,5001
10623,10624,B,Ship,5,5,161,3,high,F,7,5338
2106,2107,D,Ship,3,1,111,4,low,F,8,1620
2679,2680,B,Ship,3,1,185,2,low,F,41,3787
1387,1388,F,Ship,4,4,161,2,medium,M,59,1941
9840,9841,D,Road,3,4,212,3,low,M,6,5935
10633,10634,F,Ship,5,1,253,2,medium,M,3,5159
7083,7084,B,Ship,5,1,198,4,low,F,5,5719
1279,1280,F,Ship,3,2,213,2,medium,F,54,2809
804,805,D,Road,3,4,130,2,medium,F,42,1213
1555,1556,F,Ship,5,4,199,2,high,F,20,2553
10444,10445,C,Ship,5,2,245,5,low,M,8,1528
4566,4567,D,Ship,6,1,247,4,medium,F,10,1783
10643,10644,F,Ship,2,4,258,3,medium,M,3,4811
4841,4842,F,Ship,5,1,156,6,medium,F,4,4821
3594,3595,D,Ship,4,2,222,3,low,F,3,5130
6035,6036,F,Flight,5,2,130,4,medium,F,1,1877
6852,6853,D,Flight,3,4,153,10,medium,F,4,5456
8705,8706,F,Ship,3,1,204,3,medium,M,4,4619
4177,4178,F,Ship,4,5,149,3,low,M,9,4953
1308,1309,D,Ship,5,4,141,3,medium,M,64,1677
9106,9107,C,Ship,4,4,263,3,medium,F,8,5475
3452,3453,A,Ship,5,1,123,2,low,F,9,5497
3695,3696,F,Flight,3,1,129,3,medium,M,9,5296
4242,4243,D,Flight,5,4,286,5,low,F,3,5208
2198,2199,A,Flight,4,2,150,3,low,F,48,1193
8966,8967,A,Ship,4,4,258,3,high,M,10,4958
4425,4426,B,Ship,5,5,188,3,low,F,7,4485
6150,6151,D,Road,4,3,179,3,low,F,3,5495
943,944,F,Road,4,2,186,10,low,M,45,3722
822,823,D,Flight,3,3,268,3,low,F,33,3872
5005,5006,F,Ship,4,4,227,2,low,F,7,4916
6612,6613,D,Ship,5,2,260,5,low,M,9,1809
8356,8357,C,Flight,5,4,245,5,medium,F,4,1771
5619,5620,B,Flight,3,5,165,4,low,M,6,4795
4547,4548,F,Ship,6,4,255,4,low,F,3,1569
2538,2539,D,Ship,4,4,209,6,low,M,62,3532
9503,9504,F,Ship,5,2,254,2,medium,M,4,4180
5207,5208,F,Flight,5,3,134,3,high,M,8,5016
10474,10475,C,Ship,3,4,236,4,medium,M,2,1016
9923,9924,F,Ship,5,4,263,5,medium,M,8,1548
3054,3055,D,Ship,4,3,233,3,medium,M,26,2624
3675,3676,B,Road,4,5,148,3,low,M,5,4913
7776,7777,D,Ship,5,1,249,3,low,F,8,5940
7218,7219,D,Ship,5,5,262,5,low,M,9,1400
6722,6723,A,Flight,4,4,193,3,medium,F,3,4596
3300,3301,D,Flight,3,1,230,3,medium,F,6,4392
3310,3311,C,Ship,4,5,250,3,low,F,2,5206
7221,7222,B,Ship,3,1,268,4,medium,F,4,5006
8519,8520,F,Ship,2,1,238,2,low,F,4,4992
5954,5955,A,Ship,4,5,134,3,low,F,8,5694
832,833,C,Flight,2,3,251,3,low,F,2,3351
3462,3463,D,Ship,3,4,271,2,medium,M,6,4218
7643,7644,F,Ship,3,2,189,2,medium,F,4,4160
54,55,D,Ship,4,3,203,3,high,M,12,3539
3451,3452,F,Ship,3,2,213,3,medium,M,10,5993
6305,6306,F,Flight,5,1,272,6,medium,F,2,1681
1481,1482,F,Road,4,4,174,3,low,M,49,1141
4873,4874,F,Ship,4,4,225,2,medium,M,10,4829
8038,8039,C,Ship,7,3,301,4,medium,M,1,1966
3335,3336,F,Ship,3,4,179,2,low,F,2,4931
6016,6017,C,Road,5,3,249,4,medium,M,1,1014
4926,4927,D,Road,4,5,159,4,medium,F,4,4816
9138,9139,D,Ship,4,1,231,5,medium,M,6,1231
5797,5798,F,Ship,3,1,183,3,medium,M,7,5849
10814,10815,A,Road,5,1,174,5,medium,F,6,4677
5083,5084,F,Flight,3,4,157,3,medium,F,6,5611
6645,6646,B,Ship,6,2,168,2,low,M,3,5853
5490,5491,D,Flight,3,2,135,7,medium,M,8,4901
768,769,D,Ship,4,3,141,3,low,F,2,1915
2065,2066,F,Flight,3,1,265,3,medium,M,11,2194
10459,10460,F,Ship,2,3,277,3,medium,F,1,1738
7311,7312,B,Ship,3,2,192,3,low,M,1,4308
8477,8478,F,Road,5,1,268,3,medium,F,5,5663
10929,10930,B,Ship,5,4,232,5,medium,M,5,1337
4524,4525,D,Flight,2,4,170,5,low,M,10,5448
2717,2718,F,Road,4,5,159,3,low,M,2,1048
2079,2080,B,Ship,5,4,228,3,medium,M,42,3145
8914,8915,C,Flight,6,3,276,4,low,M,6,1670
951,952,B,Road,5,4,188,7,medium,F,48,2466
8058,8059,D,Road,3,1,101,2,medium,F,1,5560
2482,2483,C,Flight,3,5,208,4,medium,M,12,3181
9181,9182,F,Flight,7,3,247,4,medium,M,5,1060
1759,1760,F,Road,5,4,195,2,low,M,4,3108
4422,4423,D,Ship,3,4,207,2,medium,M,10,4706
6704,6705,A,Road,5,3,230,3,medium,M,4,4914
5182,5183,C,Road,4,1,177,2,high,F,7,5599
8533,8534,F,Ship,5,4,271,2,medium,F,6,4801
3701,3702,F,Flight,3,1,194,2,low,M,8,4335
4243,4244,F,Flight,4,2,151,2,medium,M,6,4987
688,689,C,Flight,5,2,170,3,low,M,15,1314
3432,3433,D,Flight,4,1,175,4,low,M,2,4053
4944,4945,D,Flight,4,1,143,3,medium,M,4,4283
966,967,D,Flight,4,5,163,4,low,F,49,1470
10442,10443,A,Ship,4,3,264,6,medium,F,7,1178
2713,2714,F,Road,3,5,226,3,medium,M,55,2465
4757,4758,F,Ship,7,3,250,5,medium,F,4,1163
10507,10508,F,Ship,3,1,187,2,low,M,6,5448
6320,6321,A,Ship,5,5,228,3,medium,F,8,4731
5975,5976,F,Ship,4,1,212,2,medium,M,4,4969
3572,3573,A,Flight,3,5,245,10,medium,M,8,4909
5299,5300,F,Ship,4,3,287,4,low,M,6,5889
1990,1991,C,Ship,3,3,139,4,high,M,17,1137
1205,1206,F,Ship,3,3,218,3,medium,M,48,3425
4971,4972,B,Ship,2,5,259,3,low,M,3,4770
10703,10704,F,Ship,4,3,259,5,low,M,6,1867
6783,6784,B,Ship,5,2,249,3,low,M,9,5978
3600,3601,D,Ship,3,4,245,10,medium,M,1,5363
6490,6491,C,Ship,6,2,279,4,low,F,10,1990
8609,8610,F,Road,5,2,221,6,medium,M,4,1952
10976,10977,A,Flight,3,2,278,4,medium,M,9,1631
8070,8071,D,Road,6,3,217,6,medium,M,3,4209
8577,8578,B,Ship,5,4,230,3,medium,M,6,4257
7973,7974,F,Ship,5,3,218,5,low,F,9,4435
1625,1626,F,Road,4,4,236,7,medium,M,62,2280
536,537,A,Road,2,3,154,4,high,F,17,1897
8766,8767,D,Flight,5,5,182,3,low,F,9,5388
7970,7971,A,Ship,3,1,142,4,medium,M,7,4780
4212,4213,D,Ship,3,5,222,3,low,M,4,5149
6456,6457,D,Ship,3,5,195,3,medium,F,9,4224
3507,3508,B,Ship,3,5,206,3,medium,F,6,5618
8393,8394,F,Ship,6,4,152,3,low,M,10,4376
9524,9525,A,Ship,3,5,258,3,low,F,5,4494
7112,7113,A,Road,6,2,309,4,medium,M,10,1782
2708,2709,A,Ship,3,1,150,3,medium,F,8,1745
5031,5032,B,Ship,6,4,294,4,medium,M,6,1112
6514,6515,C,Ship,4,1,246,6,low,F,6,1335
4662,4663,D,Flight,5,2,279,4,low,F,8,4418
4021,4022,F,Ship,3,5,194,3,low,M,8,5726
1854,1855,D,Ship,4,5,238,10,medium,M,38,3556
10376,10377,A,Ship,4,3,169,3,low,F,8,4613
2872,2873,C,Flight,4,2,257,4,high,M,58,2269
3030,3031,D,Flight,3,4,209,3,high,F,37,3650
9397,9398,F,Ship,6,4,286,4,medium,F,1,1539
1645,1646,F,Flight,4,4,143,8,medium,M,12,1326
3417,3418,B,Road,5,3,194,4,low,F,2,5396
3476,3477,A,Ship,5,2,260,4,medium,F,3,5890
10514,10515,A,Ship,4,1,225,3,medium,M,9,4242
1792,1793,C,Flight,3,4,202,4,high,M,20,3655
3797,3798,F,Ship,4,2,182,3,medium,M,7,4710
3368,3369,A,Ship,4,2,296,2,medium,F,2,1233
7196,7197,A,Ship,4,2,235,6,low,M,6,1386
10614,10615,D,Ship,3,5,228,4,low,F,7,4068
5109,5110,B,Ship,5,3,163,6,low,M,6,4349
6024,6025,D,Flight,5,3,270,5,medium,F,7,1303
8795,8796,F,Ship,3,2,234,3,medium,M,5,4757
10231,10232,F,Ship,2,1,232,6,low,F,2,5281
126,127,D,Road,4,5,220,3,medium,M,40,3516
5959,5960,F,Ship,3,4,133,8,medium,F,10,5439
3876,3877,D,Ship,4,4,266,2,low,F,2,4290
4451,4452,F,Ship,5,2,168,2,high,F,3,4928
7147,7148,F,Ship,6,4,279,4,low,M,9,1128
3531,3532,B,Ship,2,1,163,3,low,F,3,5873
827,828,F,Flight,4,2,209,2,low,F,23,2533
9831,9832,B,Ship,2,3,269,2,low,M,3,5976
7790,7791,A,Road,3,1,151,2,low,F,7,4437
984,985,D,Ship,3,3,167,3,medium,F,24,1111
7783,7784,F,Road,6,5,244,3,low,M,9,5634
2443,2444,F,Road,2,5,116,3,low,F,3,1688
8554,8555,C,Ship,6,5,308,4,low,M,8,1164
345,346,B,Ship,5,1,264,3,low,M,6,2882
814,815,C,Road,4,4,161,3,high,F,59,1165
6166,6167,C,Flight,4,3,250,2,medium,M,4,4808
5779,5780,F,Ship,6,3,272,4,low,M,5,1355
2116,2117,C,Ship,4,2,202,4,medium,M,56,3098
793,794,F,Ship,4,3,257,3,medium,M,5,2489
6898,6899,C,Ship,2,2,212,4,medium,F,3,1284
2674,2675,C,Ship,4,3,183,2,low,F,32,3709
94,95,C,Ship,4,1,213,4,high,F,35,2343
4225,4226,F,Road,4,4,217,2,low,M,6,4029
3756,3757,D,Ship,3,2,108,4,low,F,5,4787
2891,2892,F,Flight,3,2,150,2,low,M,53,1319
2371,2372,F,Ship,4,5,152,3,medium,M,25,1222
10336,10337,C,Ship,3,3,214,3,medium,M,3,4056
3228,3229,D,Ship,5,3,210,5,medium,M,9,5431
7863,7864,B,Ship,4,1,136,3,medium,F,4,5060
6359,6360,F,Ship,4,5,184,3,medium,F,9,5594
10127,10128,F,Road,2,5,271,3,low,F,6,5471
7326,7327,D,Ship,5,3,257,5,medium,M,5,4183
6028,6029,C,Flight,6,4,262,4,low,F,10,1068
1865,1866,F,Ship,4,2,259,2,medium,M,54,2244
4612,4613,C,Ship,4,2,205,2,low,F,10,5580
2645,2646,F,Ship,4,1,217,3,medium,M,2,2692
2243,2244,F,Ship,4,3,133,3,medium,F,50,1861
5373,5374,B,Ship,3,3,254,2,medium,M,8,4890
2336,2337,A,Flight,2,2,242,6,low,F,63,3144
950,951,A,Road,5,2,261,8,medium,F,1,3308
1120,1121,C,Ship,3,2,210,2,medium,M,30,3928
2204,2205,A,Flight,4,3,255,5,low,M,18,3644
419,420,F,Flight,4,2,134,2,low,F,43,1714
922,923,C,Ship,4,1,208,7,high,M,8,2193
9446,9447,A,Road,6,5,260,4,low,F,8,1347
8669,8670,F,Ship,4,4,189,2,medium,M,3,5837
5408,5409,A,Ship,3,1,267,3,low,M,5,5528
5788,5789,C,Ship,5,3,220,6,medium,F,6,1830
5742,5743,D,Road,3,1,174,3,low,M,7,4318
7667,7668,F,Flight,7,2,272,4,medium,F,8,1816
5567,5568,F,Ship,4,2,245,2,low,M,3,4000
8135,8136,F,Ship,6,2,213,2,medium,F,7,5415
1202,1203,A,Ship,4,4,237,2,medium,M,21,1495
5765,5766,F,Flight,6,1,250,4,low,F,2,1783
8389,8390,F,Ship,3,1,226,2,low,M,7,4703
1970,1971,A,Ship,5,2,144,3,low,M,49,1202
4018,4019,C,Ship,3,5,160,3,medium,F,1,5062
3687,3688,B,Road,4,1,238,3,low,M,4,5449
1997,1998,F,Ship,6,2,172,2,low,M,41,1006
4033,4034,F,Ship,3,5,169,3,low,F,6,5397
1248,1249,D,Flight,5,2,217,3,low,M,27,2999
2192,2193,A,Flight,4,4,252,3,medium,F,7,2477
2712,2713,D,Ship,3,3,237,5,low,M,48,2057
9184,9185,C,Flight,4,3,219,5,low,F,8,1702
2190,2191,D,Flight,4,5,230,2,low,F,38,2890
4670,4671,A,Flight,4,2,252,2,medium,F,6,5414
5142,5143,D,Ship,4,1,152,3,low,M,10,5974
5984,5985,A,Ship,4,5,198,7,medium,M,9,4249
6565,6566,F,Road,5,2,259,5,low,F,3,1724
7804,7805,C,Flight,3,3,244,4,medium,M,10,5181
6943,6944,F,Ship,3,3,253,2,low,M,5,4112
9510,9511,D,Ship,4,1,183,3,low,M,3,5178
2136,2137,D,Ship,5,3,224,2,medium,M,52,3824
1065,1066,B,Ship,4,2,166,4,low,F,63,1759
600,601,D,Ship,6,3,133,5,medium,M,32,1367
4227,4228,B,Road,4,3,159,2,high,M,3,5731
7577,7578,F,Ship,5,3,236,4,medium,M,7,4308
77,78,F,Ship,3,3,113,3,low,F,43,1518
7546,7547,C,Flight,5,5,171,3,medium,F,6,4209
2898,2899,D,Ship,4,2,180,3,low,M,22,1261
4820,4821,A,Ship,6,3,247,4,low,M,3,1616
9506,9507,A,Ship,4,1,243,3,medium,M,10,5832
10242,10243,D,Ship,4,2,160,3,low,M,5,4492
6413,6414,F,Road,4,2,146,3,low,F,4,5659
9444,9445,D,Road,7,1,269,5,medium,F,5,1402
9064,9065,C,Ship,4,3,260,4,low,F,5,5307
8007,8008,B,Ship,7,1,308,4,medium,M,7,1841
5468,5469,A,Road,6,5,301,5,medium,M,3,1628
5951,5952,F,Ship,5,2,265,3,low,M,10,4347
3391,3392,F,Ship,4,2,178,8,medium,M,5,4120
5415,5416,B,Ship,4,5,157,3,medium,F,2,4343
2560,2561,C,Ship,5,5,216,3,low,F,5,3137
10879,10880,F,Ship,5,3,265,2,low,F,4,4641
8162,8163,A,Ship,5,5,257,3,medium,F,9,5972
2635,2636,F,Ship,4,3,204,3,low,M,30,3774
5256,5257,D,Ship,6,5,292,4,low,F,10,1969
3530,3531,A,Ship,4,2,137,3,low,F,6,5271
8567,8568,F,Ship,4,2,161,3,low,F,8,4382
1908,1909,D,Road,5,3,220,3,low,M,37,2294
235,236,F,Ship,2,2,134,3,low,M,38,1352
1604,1605,A,Ship,2,2,145,2,low,M,1,1126
7984,7985,C,Ship,4,2,204,8,low,F,1,4038
9310,9311,C,Road,4,1,213,5,low,M,10,5492
3490,3491,C,Ship,3,1,256,4,medium,F,3,4398
1994,1995,A,Ship,3,1,165,3,low,F,1,1417
2824,2825,C,Ship,4,1,180,3,medium,M,27,1551
10222,10223,C,Ship,4,3,238,6,low,M,2,1898
1342,1343,C,Ship,4,4,216,2,medium,F,6,3255
8512,8513,C,Ship,3,5,184,3,low,F,2,4357
1619,1620,F,Road,4,1,167,3,low,F,10,1616
5287,5288,F,Ship,4,1,268,3,medium,M,6,4681
2060,2061,A,Flight,3,2,173,3,high,M,60,1582
10948,10949,C,Road,5,4,229,5,low,F,3,1861
2219,2220,F,Ship,6,5,240,4,medium,M,62,2400
9865,9866,F,Flight,6,4,155,5,medium,F,8,5982
6038,6039,A,Flight,7,1,255,5,medium,M,10,1238
260,261,A,Road,2,5,159,3,low,F,49,1621
10312,10313,C,Ship,3,5,236,3,medium,F,1,5220
9093,9094,B,Ship,6,5,289,4,low,M,5,1600
3744,3745,D,Ship,6,4,256,4,high,M,2,5021
2026,2027,C,Ship,4,2,265,3,low,F,41,3498
6988,6989,C,Flight,4,5,133,3,high,F,8,5653
4234,4235,C,Road,4,3,259,3,low,F,1,4914
1917,1918,B,Flight,5,4,242,3,high,F,2,3564
1828,1829,C,Ship,4,4,259,2,medium,M,44,2132
9765,9766,B,Ship,4,4,155,2,medium,F,6,5942
6233,6234,F,Ship,3,4,236,3,medium,F,5,5466
10277,10278,F,Flight,3,2,219,4,low,F,6,4314
6283,6284,F,Road,5,1,231,5,low,M,10,1418
4208,4209,A,Ship,4,2,224,3,low,F,3,5967
224,225,A,Ship,3,4,192,3,medium,F,31,3331
8915,8916,F,Flight,7,4,270,4,medium,F,5,1735
10002,10003,D,Flight,4,4,153,3,medium,M,3,4422
9333,9334,B,Ship,5,3,194,4,low,M,9,5851
6469,6470,F,Ship,5,3,189,5,low,M,7,4869
10363,10364,F,Ship,4,2,198,3,low,F,4,5863
846,847,D,Ship,4,4,140,3,medium,M,11,1911
4289,4290,F,Ship,3,3,259,8,high,F,6,5939
5560,5561,C,Ship,3,1,249,2,low,F,2,5572
2551,2552,F,Ship,3,5,270,2,medium,F,46,2716
117,118,B,Road,4,3,265,2,medium,F,31,2326
8837,8838,F,Ship,7,5,254,4,medium,F,6,1491
5966,5967,A,Ship,4,5,270,5,low,F,1,1187
8195,8196,F,Road,3,5,147,3,medium,M,5,5357
8659,8660,F,Ship,6,2,269,4,medium,F,10,1166
7489,7490,F,Ship,7,3,267,4,medium,M,8,1892
5,6,F,Flight,3,1,162,3,medium,F,12,1417
5342,5343,A,Flight,4,2,243,2,medium,F,6,4573
9111,9112,B,Ship,3,2,173,2,low,F,8,5492
4324,4325,C,Ship,4,1,277,5,medium,M,3,1527
1063,1064,F,Ship,3,4,209,3,low,M,37,2215
2590,2591,C,Road,4,2,161,3,medium,F,10,1928
8434,8435,C,Ship,3,5,147,3,medium,M,8,5272
9352,9353,C,Ship,5,4,226,6,low,F,3,1223
3735,3736,B,Ship,6,1,170,3,low,F,10,4858
3517,3518,F,Ship,4,5,254,3,low,M,1,4377
6986,6987,A,Flight,3,2,223,4,medium,M,3,5374
6767,6768,F,Ship,3,4,176,3,medium,M,4,5623
5622,5623,D,Flight,4,3,266,6,medium,F,5,5209
1605,1606,B,Ship,5,2,140,4,high,M,58,1175
1733,1734,F,Ship,2,3,192,2,low,F,31,2621
10286,10287,A,Flight,6,2,196,2,low,M,10,5180
9504,9505,D,Ship,4,4,251,3,medium,F,9,5350
3812,3813,A,Road,4,3,229,3,low,M,5,5225
10596,10597,D,Ship,3,1,167,3,low,F,4,5943
